x,y,z
-530.49657218004,372.5606654025614,0.0
-530.082747082779,373.14922450017184,0.0
-528.9320881690073,374.7784793782048,0.0
-527.7764216180949,376.40418606065214,0.0
-526.6157583712775,378.02632915601134,0.0
-525.4501094170846,379.6448933063075,0.0
-524.2794857912231,381.25986318849027,0.0
-523.1038985764899,382.8712235125713,0.0
-521.9233589027426,384.4789590234868,0.0
-520.737877946638,386.083054499235,0.0
-519.54746693169,387.6834947541356,0.0
-518.3521371280367,389.28026463557035,0.0
-517.1518998523825,390.8733490263112,0.0
-515.9467664679396,392.4627328440547,0.0
-514.7367483842245,394.0484010409564,0.0
-513.5218570570578,395.63033860502765,0.0
-512.3021039883315,397.2085305592045,0.0
-511.0775007259799,398.7829619627446,0.0
-509.8480588638922,400.35361790889874,0.0
-508.61379004173796,401.92048352817073,0.0
-507.3747059449088,403.48354398598894,0.0
-506.13081830434385,405.0427844841033,0.0
-504.8821388965298,406.5981902605854,0.0
-503.6286795432097,408.14974659029394,0.0
-502.3704521114996,409.69743878301233,0.0
-501.10746851356816,411.24125218670815,0.0
-499.8397407066659,412.78117218473926,0.0
-498.5672806929215,414.31718419864774,0.0
-497.29010051931255,415.84927368629724,0.0
-496.008212277462,417.37742614233866,0.0
-494.72162810355076,418.90162709960714,0.0
-493.43036017831764,420.4218621267937,0.0
-492.13442072671023,421.93811683217064,0.0
-490.8338220179721,423.45037686033174,0.0
-489.52857636549743,424.9586278940551,0.0
-488.21869612659793,426.4628556538373,0.0
-486.9041937025322,427.96304589882493,0.0
-485.5850815382146,429.45918442541733,0.0
-484.2613721223606,430.9512570700608,0.0
-482.93307798705064,432.43924970552325,0.0
-481.60021170784603,433.92314824508503,0.0
-480.2627859036147,435.4029386397451,0.0
-478.9208132363856,436.878606879618,0.0
-477.5743064111739,438.3501389939338,0.0
-476.22327817595215,439.81752105103806,0.0
-474.8677413215628,441.28073915839195,0.0
-473.5077086814563,442.7397794635035,0.0
-472.143193131662,444.19462815253064,0.0
-470.7742075906717,445.6452714516781,0.0
-469.40076501926524,447.0916956276633,0.0
-468.0228784204519,448.533886986319,0.0
-466.6405608393252,449.97183187352493,0.0
-465.25382536285906,451.4055166756734,0.0
-463.86268511993694,452.83492781966925,0.0
-462.46715328108985,454.2600517719984,0.0
-461.0672430584673,455.6808750415221,0.0
-459.6629677056044,457.0973841752857,0.0
-458.25434051742195,458.50956576364115,0.0
-456.8413748300518,459.91740643652156,0.0
-455.424084020633,461.3208928653039,0.0
-454.00248150731204,462.72001176234335,0.0
-452.57658074903884,464.1147498814389,0.0
-451.14639524545055,465.50509401829913,0.0
-449.71193853678415,466.8910310100764,0.0
-448.2732242036145,468.2725477349013,0.0
-446.8302658669709,469.6496311137453,0.0
-445.3830771879293,471.02226810902357,0.0
-443.93167186772916,472.39044572552666,0.0
-442.47606364739477,473.7541510099545,0.0
-441.01626630791,475.1133710513823,0.0
-439.55229366978165,476.46809298172593,0.0
-438.08415959306876,477.81830397527665,0.0
-436.6118779773242,479.1639912482351,0.0
-435.13546276124544,480.50514206150547,0.0
-433.654927922762,481.8417437169701,0.0
-432.1702874787152,483.17378356074914,0.0
-430.6815554848581,484.50124898180366,0.0
-429.1887460357393,485.8241274128668,0.0
-427.6918732643826,487.1424063285813,0.0
-426.1909513424325,488.4560732492246,0.0
-424.6859944797179,489.7651157369837,0.0
-423.1770169243682,491.0695213987492,0.0
-421.6640329625807,492.36927788564935,0.0
-420.14705691838753,493.664372892119,0.0
-418.6261031537433,494.9547941563651,0.0
-417.1011860681756,496.2405294617638,0.0
-415.5723200987268,497.52156663592905,0.0
-414.0395197198959,498.79789355024695,0.0
-412.5027994433767,500.0694981212728,0.0
-410.9621738179994,501.3363683107309,0.0
-409.41765742955613,502.59849212365225,0.0
-407.86926490065525,503.85585761163384,0.0
-406.31701089063426,505.10845287004486,0.0
-404.76091009538504,506.3562660408206,0.0
-403.20097724720836,507.59928530966863,0.0
-401.63722711469745,508.8374989088625,0.0
-400.0696745025343,510.0708951149136,0.0
-398.4983342514897,511.29946225183085,0.0
-396.9232212381321,512.5231886869296,0.0
-395.3443503747403,513.7420628359541,0.0
-393.7617366092163,514.956073157955,0.0
-392.1753949248814,516.1652081608772,0.0
-390.5853403403016,517.3694563959725,0.0
-388.9915879092878,518.5688064624555,0.0
-387.3941527205461,519.7632470056415,0.0
-385.79304989779484,520.9527667174116,0.0
-384.1882945993275,522.1373543357477,0.0
-382.57990201810026,523.3169986461289,0.0
-380.96788738147006,524.4916884796694,0.0
-379.35226595113636,525.6614127149805,0.0
-377.7330530228792,526.826160278637,0.0
-376.1102639265591,527.985920142848,0.0
-374.4839140257973,529.1406813277863,0.0
-372.8540187179751,530.290432900656,0.0
-371.2205934340891,531.435163976159,0.0
-369.5836536384886,532.57486371696,0.0
-367.94321482878877,533.7095213327557,0.0
-366.299292535783,534.8391260816716,0.0
-364.6519023232104,535.9636672688648,0.0
-363.00105978766805,537.0831342474557,0.0
-361.3467805584078,538.1975164194591,0.0
-359.68908029724844,539.3068032343872,0.0
-358.0279746983724,540.4109841901809,0.0
-356.3634794882091,541.5100488327444,0.0
-354.6956104252604,542.6039867573418,0.0
-353.02438330004225,543.6927876067348,0.0
-351.3498139347357,544.7764410730451,0.0
-349.6719181833323,545.8549368963577,0.0
-347.99071193113923,546.9282648661174,0.0
-346.30621109492495,547.996414821595,0.0
-344.6184316226281,549.0593766486272,0.0
-342.927389493183,550.1171402852051,0.0
-341.2331007164612,551.1696957158856,0.0
-339.53558133306797,552.2170329759829,0.0
-337.8348474141385,553.2591421501711,0.0
-336.13091506130877,554.2960133720189,0.0
-334.42380040648277,555.3276368249208,0.0
-332.71351961165783,556.3540027425624,0.0
-331.00008886883734,557.3751014075242,0.0
-329.2835243998561,558.390923152212,0.0
-327.56384245614754,559.4014583602548,0.0
-325.84105931877275,560.4066974637099,0.0
-324.1151912980422,561.4066309458576,0.0
-322.3862547335448,562.401249339804,0.0
-320.65426599391503,563.3905432289466,0.0
-318.9192414766294,564.3745032474399,0.0
-317.181197607948,565.3531200797297,0.0
-315.44015084273997,566.3263844605535,0.0
-313.6961176642799,567.2942871758714,0.0
-311.94911458407296,568.256819061935,0.0
-310.19915814179694,569.2139710057527,0.0
-308.44626490506926,570.1657339460216,0.0
-306.6904514693015,571.1120988717303,0.0
-304.93173445761204,572.0530568230897,0.0
-303.170130776678,572.9885987564921,0.0
-303.170130776678,572.9885987564921,0.0
-303.1205086853006,573.0148539664224,0.0
-301.352707377926,573.9502033866011,0.0
-299.58490607052227,574.8855528063141,0.0
-297.81710476314765,575.8209022264928,0.0
-296.04930345574394,576.7562516466714,0.0
-294.2837170982384,577.6896780370735,0.0
