x,y,z
1008.985,-1725.93262,2.60609865
1009.34570975,-1725.5685125,2.6078647525000003
1009.7064995,-1725.2045349999999,2.6096616025
1010.06728925,-1724.84055675,2.61210350125
1010.427414,-1724.475923,2.61489498
1010.7814025,-1724.10532875,2.617762625
1011.13549,-1723.7348245,2.6208843325
1011.4895355,-1723.36422925,2.62536922875
1011.842362,-1722.992522,2.629198632
1012.18994975,-1722.61593825,2.63278935525
1012.5375525,-1722.2393224999998,2.6349716225
1012.88518525,-1721.862704,2.63392441925
1013.2309789999999,-1721.484434,2.636455031
1013.57243725,-1721.1021877500002,2.64014108075
1013.9138744999999,-1720.7199380000002,2.6429077995
1014.25529375,-1720.33769125,2.64468628
1014.594432,-1719.953438,2.648142688
1014.9299197500001,-1719.56600875,2.6521509
1015.26543,-1719.1785615000001,2.6562382804999998
1015.6009532500001,-1718.7911262500002,2.6603257182499997
1015.93372,-1718.4013650000002,2.66633642
1016.26363075,-1718.0092307500001,2.67235763225
1016.593479,-1717.6170305,2.6764665255
1016.9233380000001,-1717.22477325,2.68057589875
1017.250218,-1716.8300259999999,2.683828214
1017.574975,-1716.433515,2.68676275125
1017.8997295,-1716.037004,2.6898824925
1018.22448025,-1715.6404929999999,2.69300223375
1018.546417,-1715.241763,2.695890226
1018.8669965,-1714.8419085,2.69892994575
1019.1876075,-1714.4421049999999,2.7020763199999998
1019.508137,-1714.04224925,2.7052233772500003
1019.826394,-1713.640598,2.708306852
1020.14396325,-1713.23835875,2.71114042825
1020.461629,-1712.836191,2.7139175915
1020.7792037500001,-1712.43394625,2.7166951275
1021.095229,-1712.03047,2.719547848
1021.4110324999999,-1711.6268249999998,2.7223002785
1021.7268445,-1711.2231800000002,2.7250407485
1022.042589,-1710.819535,2.7277809755
1022.05078,-1710.80908,2.72785187
1022.05078,-1710.80908,2.72785187
1022.36552675,-1710.40456375,2.7314353017500004
1022.680274,-1710.000047,2.734182385
1022.99500625,-1709.5955024999998,2.73692981775
1023.309408,-1709.190719,2.739653493
1023.62363625,-1708.7858325,2.74214118625
1023.937749,-1708.3809115000001,2.7446178635
1024.25181625,-1707.9758365,2.74709564675
1024.5655960000001,-1707.570702,2.749574828
1024.879279,-1707.1654025,2.7520546085
1025.192935,-1706.7600125,2.754418125
1025.50648525,-1706.3546147499999,2.75630408325
1025.819932,-1705.949145,2.757876084
1026.13311375,-1705.54350125,2.75944212625
1026.446257,-1705.137812,2.7609743724999998
1026.7593575,-1704.7320837500001,2.7624723925
1027.07234,-1704.326292,2.763970918
1027.3850715,-1703.920269,2.76547103
1027.6978765,-1703.5142505000001,2.766970923
1028.0106805,-1703.108233,2.7684707737500003
1028.3233650000002,-1702.702135,2.769957185
1028.63591825,-1702.29598975,2.7714272005
1028.9484055,-1701.889792,2.772895827
1029.26090475,-1701.483592,2.77252805
1029.573242,-1701.077296,2.769725752
1029.8855012499998,-1700.6709,2.7662166037500002
1030.1978020000001,-1700.2645015,2.7627072705
1030.510018,-1699.8581060000001,2.75919829275
1030.822199,-1699.451707,2.757385114
1031.1342092500001,-1699.045109,2.75812404325
1031.44632,-1698.6385725,2.7595932475
1031.758401,-1698.23205725,2.761307096
1032.070364,-1697.825436,2.763609126
1032.382294,-1697.418796,2.76526838425
1032.6941199999999,-1697.0121494999999,2.766737309
1033.00603,-1696.60550125,2.76849102875
1033.31785,-1696.198691,2.770942445
1033.629655,-1695.7919692500002,2.77263514825
1033.94146,-1695.3852025,2.7742362945
1034.25313825,-1694.9784312499999,2.7760118165
1034.26111,-1694.968,2.77605867
1034.26111,-1694.968,2.77605867
1034.57279175,-1694.56107675,2.7782085705
1034.884458,-1694.1542215,2.7798243775
1035.19601625,-1693.7473272500001,2.78144188925
1035.507566,-1693.340417,2.783092588
1035.81912375,-1692.9333675,2.784786125
1036.130656,-1692.526375,2.7864024915
1036.4421112500002,-1692.1193492500001,2.78802370025
1036.753612,-1691.7123060000001,2.789682388
1037.06491475,-1691.3051555,2.7913727235
1037.3762499999998,-1690.8980375,2.7929949775000003
1037.68765025,-1690.4909845,2.7946252035
1037.9989170000001,-1690.083798,2.796296909
1038.31013575,-1689.67656675,2.7979830115
1038.6213965,-1689.2693809999998,2.799605365
1038.9325275,-1688.8621074999999,2.80124074
1039.243578,-1688.454834,2.8029253
1039.55468575,-1688.0475605,2.8046091595
1039.8658070000001,-1687.640233,2.8062319749999998
1040.1769152499999,-1687.2328935,2.8079165972499998
1040.487975,-1686.82556,2.80980432
1040.79890875,-1686.4181635,2.81162369825
1041.109837,-1686.010767,2.813246881
1041.4207605,-1685.6033705,2.814944805
1041.73154,-1685.195824,2.816984702
1042.0422925,-1684.7882525,2.81911042
1042.3530994999999,-1684.380733,2.8211623594999997
1042.6638225,-1683.9732135000002,2.82325180575
1042.9745,-1683.565603,2.825486047
1043.2851775,-1683.1579502499999,2.8277022069999997
1043.595855,-1682.750305,2.8298869150000003
1043.9065325,-1682.3426547499998,2.8320986005
1044.217114,-1681.93501,2.8343748
1044.5276685000001,-1681.52735925,2.83657981925
1044.8381125,-1681.119613,2.838764023
1045.1485425,-1680.71183875,2.8409697675
1045.4589740000001,-1680.304063,2.8432517269999997
1045.76939625,-1679.8962965,2.8455034025
1046.0798555000001,-1679.4885215000002,2.8477511614999997
1046.39014225,-1679.08062875,2.8500070969999998
1046.398,-1679.07031,2.850064
1046.398,-1679.07031,2.850064
1046.7082484999999,-1678.66241125,2.852341107
1047.0185490000001,-1678.2545125,2.854600477
1047.328698,-1677.8466145,2.85685896125
1047.638901,-1677.438712,2.859109193
1047.9490775000002,-1677.03068125,2.861350625
1048.2592435000001,-1676.6226595,2.86361075
1048.569322,-1676.21463775,2.86586550775
1048.879492,-1675.806616,2.868044064
1049.18949325,-1675.398574,2.8699937825
1049.4994225,-1674.9904425,2.8718651525
1049.8093847500002,-1674.5823007499998,2.87373569475
1050.119383,-1674.174243,2.875584211
1050.4292475,-1673.7660560000002,2.8773699445
1050.7390874999999,-1673.3577815,2.8791222249999997
1051.0489687499999,-1672.949555,2.88088754125
1051.358864,-1672.5413079999998,2.882698252
1051.66861625,-1672.132964,2.88449709375
1051.978418,-1671.7246905,2.886228272
1052.28816175,-1671.3164179999999,2.8879776864999998
1052.59778,-1670.90808,2.88978505
1052.907393,-1670.499679,2.89157238475
1053.217055,-1670.091289,2.8933038375
1053.52673625,-1669.68289125,2.895079128
1053.83626,-1669.27442,2.89697385
1054.1457500000001,-1668.86589375,2.8987858275000002
1054.4552999999999,-1668.457366,2.9005065675000004
1054.76485,-1668.048842,2.90227318875
1055.074253,-1667.640234,2.9047042149999998
1055.383653,-1667.2316739999999,2.90785267
1055.69308,-1666.82315,2.9111754025
1056.002507,-1666.4146647500002,2.9143253005
1056.3117419999999,-1666.006016,2.91761489
1056.621022,-1665.5973589999999,2.92204246725
1056.9302155,-1665.1886015,2.926733194
1057.2395,-1664.779935,2.9309911737500003
1057.548696,-1664.37118,2.934325005
1057.85786775,-1663.9624099999999,2.93887151225
1058.167048,-1663.5536305,2.9435614255
1058.47621925,-1663.14486,2.94770200725
1058.48425,-1663.13428,2.94780421
1058.48425,-1663.13428,2.94780421
1058.79330775,-1662.725377,2.951153388
1059.1023555,-1662.3164895,2.9564069985
1059.411404,-1661.90771,2.96161081275
1059.720449,-1661.4989269999999,2.9659905429999998
1060.0293625,-1661.09000875,2.9686042049999997
1060.3382219999999,-1660.681002,2.9721594860000002
1060.64722325,-1660.272109,2.9756542660000003
1060.956124,-1659.8632,2.978585336
1061.26492575,-1659.4542025,2.98047857775
1061.5737275,-1659.0451375,2.982619585
1061.8825430000002,-1658.63611125,2.98479964825
1062.191366,-1658.227085,2.987693605
1062.50009375,-1657.81801975,2.991229166
1062.8087725,-1657.4088705,2.9927235094999998
1063.11749625,-1656.99977,2.993712875
1063.42615,-1656.5906499999999,2.9949879999999998
1063.73467875,-1656.18142275,2.99679517425
1064.043299,-1655.7722735,2.9998791755000003
1064.3519015,-1655.36312425,3.00390329225
1064.660455,-1654.953915,3.005292175
